SyouTa,(7, 4),planted=(8, 2),detonate=42.0,action=0,Qvals=[3.440000057220459, -1000000000.0, -1000000000.0, -1000000000.0, 3.2813000679016113, -1000000000.0, 3.229599952697754, -1000000000.0, 3.181299924850464, -1000000000.0]
Absol,(9, 3),planted=(9, 3),detonate=42.0,action=0,Qvals=[3.472100019454956, -1000000000.0, 3.3922998905181885, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0]
SugarZ3ro,(10, 3),planted=(9, 3),detonate=42.0,action=0,Qvals=[3.2125000953674316, -1000000000.0, -1000000000.0, -1000000000.0, 2.8736000061035156, -1000000000.0, 3.0768001079559326, -1000000000.0, -1000000000.0, -1000000000.0]
SyouTa,(7, 4),planted=(8, 2),detonate=40.0,action=0,Qvals=[3.3522000312805176, -1000000000.0, -1000000000.0, -1000000000.0, 3.1993000507354736, -1000000000.0, 3.131500005722046, -1000000000.0, 3.095599889755249, -1000000000.0]
Absol,(9, 3),planted=(9, 3),detonate=41.0,action=0,Qvals=[3.4166998863220215, -1000000000.0, 3.3373000621795654, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0]
SugarZ3ro,(10, 3),planted=(9, 3),detonate=41.0,action=0,Qvals=[3.152100086212158, -1000000000.0, -1000000000.0, -1000000000.0, 2.808799982070923, -1000000000.0, 3.013400077819824, -1000000000.0, -1000000000.0, -1000000000.0]
SyouTa,(7, 4),planted=(8, 4),detonate=40.0,action=0,Qvals=[3.4040000438690186, -1000000000.0, -1000000000.0, -1000000000.0, 3.1921000480651855, -1000000000.0, 3.1649999618530273, -1000000000.0, 3.1040000915527344, -1000000000.0]
Absol,(9, 3),planted=(9, 3),detonate=40.0,action=0,Qvals=[3.36080002784729, -1000000000.0, 3.2822999954223633, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0, -1000000000.0]
SugarZ3ro,(10, 3),planted=(9, 3),detonate=40.0,action=0,Qvals=[3.092099905014038, -1000000000.0, -1000000000.0, -1000000000.0, 2.744800090789795, -1000000000.0, 2.950700044631958, -1000000000.0, -1000000000.0, -1000000000.0]
SyouTa,(7, 4),planted=(8, 3),detonate=40.0,action=0,Qvals=[3.3958001136779785, -1000000000.0, -1000000000.0, -1000000000.0, 3.2007999420166016, -1000000000.0, 3.1668999195098877, -1000000000.0, 3.109100103378296, -1000000000.0]
